Index, PC, Target, State Machine, Prediction, Busy
 814, 0042ACB8, 0042ACC8, 00, Taken, true
 821, 0042ACD4, 0042ACE8, 01, Taken, true
 824, 0042ACE0, 0042ACFC, 00, Taken, true
 827, 00400CEC, 00400200, 00, Taken, true
 837, 0042AD14, 0042DBA0, 00, Taken, true
 839, 0042AD1C, 0042AD2C, 00, Taken, true
 840, 00400D20, 00400CEC, 01, Taken, true
 843, 00400D2C, 00400200, 00, Taken, true
 846, 0042AD38, 00420300, 10, NT   , true
 847, 0042AD3C, 00420350, 00, Taken, true
 856, 00400D60, 00400D2C, 01, Taken, true
 859, 00400D6C, 00400200, 00, Taken, true
 872, 00400DA0, 00400D6C, 01, Taken, true
 875, 00400DAC, 00400200, 00, Taken, true
 888, 00400DE0, 00400DAC, 00, Taken, true
 919, 00425E5C, 00425EA4, 10, NT   , true
 923, 00425E6C, 00425E7C, 00, Taken, true
 930, 00425E88, 00425E90, 10, NT   , true
 936, 00425EA0, 00425E60, 01, Taken, true
 939, 00425EAC, 00425F88, 00, Taken, true
 948, 00425ED0, 0042B2F0, 00, Taken, true
 951, 00425EDC, 00425F14, 00, Taken, true
 966, 00425F18, 00425F30, 00, Taken, true
 989, 00425F74, 0042C1D0, 00, Taken, true
1005, 00425FB4, 0042C1D0, 00, Taken, true
1010, 00422FC8, 00425E40, 00, Taken, true
1015, 00425FDC, 0042303C, 00, Taken, true
1018, 00422FE8, 004230A8, 00, Taken, true
